name,description,category,type,style_tag,cut_type,weather_suitability,gender,color,image_url,suitable_body_types
Wide-Leg Trousers,Full-length dress for formal wear,bottoms,top,trendy,A-line,spring,unisex,"['pink', 'green']",https://example.com/images/item_167.jpg,['apple']
Tank Top,Fitted at the waist with flare below,bottoms,hoodie,street,fitted,summer,female,"['gray', 'navy']",https://example.com/images/item_168.jpg,"['apple', 'pear']"
Wide-Leg Trousers,Full-length dress for formal wear,jumpsuits,shirt,boho,A-line,spring,female,"['red', 'beige']",https://example.com/images/item_169.jpg,['hourglass']
Pencil Skirt,Casual one-piece for everyday wear,tops,shirt,trendy,straight,fall,male,"['pink', 'green']",https://example.com/images/item_170.jpg,"['apple', 'hourglass']"
Pencil Skirt,Open front soft knit sweater,tops,skirt,chic,straight,winter,unisex,"['pink', 'beige']",https://example.com/images/item_171.jpg,"['inverted_triangle', 'rectangle', 'pear']"
Tank Top,Breathable button-up for summer days,jumpsuits,top,formal,relaxed,summer,female,['gray'],https://example.com/images/item_172.jpg,"['inverted_triangle', 'rectangle', 'hourglass']"
Peplum Top,Denim jeans with narrow fit,jumpsuits,blouse,casual,fitted,summer,male,['pink'],https://example.com/images/item_173.jpg,"['hourglass', 'pear', 'rectangle']"
Denim Jacket,Lightweight top with floral prints,bottoms,pants,trendy,oversized,fall,male,"['blue', 'green', 'pink']",https://example.com/images/item_174.jpg,"['inverted_triangle', 'pear', 'apple']"
Relaxed Jumpsuit,Sleeveless casual tank,dresses,jacket,trendy,relaxed,summer,female,['black'],https://example.com/images/item_175.jpg,['pear']
Oversized Hoodie,High-rise trousers with wide leg,jumpsuits,jeans,formal,straight,winter,unisex,['red'],https://example.com/images/item_176.jpg,"['pear', 'apple']"
Cargo Pants,Comfortable cotton shorts,tops,shirt,boho,fitted,fall,male,"['blue', 'black', 'purple']",https://example.com/images/item_177.jpg,"['inverted_triangle', 'apple']"
Tank Top,Short length trendy top,bottoms,top,street,straight,summer,male,"['red', 'navy']",https://example.com/images/item_178.jpg,"['inverted_triangle', 'rectangle']"
Linen Shirt,Sleeveless casual tank,jumpsuits,top,vintage,relaxed,fall,unisex,"['blue', 'purple']",https://example.com/images/item_179.jpg,"['apple', 'hourglass']"
Boho Floral Blouse,Open front soft knit sweater,bottoms,shirt,chic,A-line,fall,male,['pink'],https://example.com/images/item_180.jpg,"['pear', 'hourglass', 'apple']"
Sweat Shorts,Cozy pullover with front pockets,bottoms,jeans,trendy,flared,spring,unisex,['gray'],https://example.com/images/item_181.jpg,"['hourglass', 'apple', 'inverted_triangle']"
Sweat Shorts,Classic blue jacket with buttons,bottoms,blouse,casual,straight,spring,male,"['beige', 'red', 'green']",https://example.com/images/item_182.jpg,['inverted_triangle']
Maxi Dress,Cozy pullover with front pockets,dresses,hoodie,casual,straight,spring,male,['black'],https://example.com/images/item_183.jpg,"['inverted_triangle', 'pear', 'rectangle']"
Maxi Dress,Fitted at the waist with flare below,outerwear,blouse,vintage,flared,winter,male,"['gray', 'purple']",https://example.com/images/item_184.jpg,['hourglass']
Pencil Skirt,Professional office skirt,dresses,shirt,casual,fitted,spring,unisex,"['navy', 'beige']",https://example.com/images/item_185.jpg,"['pear', 'rectangle']"
Denim Jacket,Denim jeans with narrow fit,tops,blouse,boho,fitted,summer,female,"['black', 'pink']",https://example.com/images/item_186.jpg,"['hourglass', 'inverted_triangle', 'pear']"
Wide-Leg Trousers,Fitted at the waist with flare below,bottoms,jacket,formal,A-line,fall,male,"['pink', 'purple', 'black']",https://example.com/images/item_187.jpg,['hourglass']
V-Neck Tee,Casual cotton V-neck,tops,jacket,formal,oversized,winter,female,"['black', 'gray']",https://example.com/images/item_188.jpg,"['hourglass', 'pear']"
Relaxed Jumpsuit,Relaxed fit with utility pockets,bottoms,blouse,vintage,straight,winter,male,"['gray', 'navy']",https://example.com/images/item_189.jpg,"['apple', 'rectangle', 'pear']"
Oversized Hoodie,Full-length dress for formal wear,jumpsuits,jumpsuit,minimalist,oversized,winter,female,"['gray', 'white', 'red']",https://example.com/images/item_190.jpg,"['apple', 'hourglass']"
Oversized Hoodie,Classic blue jacket with buttons,dresses,jeans,formal,fitted,fall,unisex,"['gray', 'beige']",https://example.com/images/item_191.jpg,['hourglass']
Maxi Dress,Professional office skirt,jumpsuits,blouse,street,flared,summer,male,"['purple', 'navy', 'beige']",https://example.com/images/item_192.jpg,"['rectangle', 'hourglass', 'pear']"
Wide-Leg Trousers,Short length trendy top,dresses,jacket,boho,flared,spring,unisex,"['blue', 'green']",https://example.com/images/item_193.jpg,"['rectangle', 'inverted_triangle']"
Cargo Pants,Full-length dress for formal wear,tops,skirt,minimalist,A-line,summer,unisex,"['blue', 'black']",https://example.com/images/item_194.jpg,"['pear', 'hourglass']"
Boho Floral Blouse,Open front soft knit sweater,outerwear,top,chic,relaxed,fall,male,['gray'],https://example.com/images/item_195.jpg,['apple']
Relaxed Jumpsuit,Professional office skirt,dresses,jacket,vintage,flared,spring,female,"['blue', 'green', 'beige']",https://example.com/images/item_196.jpg,"['apple', 'pear']"
Turtleneck Sweater,Flowy mid-length skirt,dresses,skirt,street,oversized,spring,female,"['white', 'blue']",https://example.com/images/item_197.jpg,"['pear', 'apple']"
Crop Top,Breathable button-up for summer days,tops,skirt,boho,flared,spring,male,"['purple', 'white']",https://example.com/images/item_198.jpg,['hourglass']
Crop Top,Open front soft knit sweater,dresses,shirt,minimalist,oversized,fall,male,"['navy', 'blue']",https://example.com/images/item_199.jpg,"['apple', 'inverted_triangle']"
Maxi Dress,Short length trendy top,dresses,jacket,boho,relaxed,fall,male,"['black', 'navy']",https://example.com/images/item_200.jpg,['rectangle']
